text,label
"подскажите про антивирус касперского",4
"нужен отдельный IP адрес",5
"хочу персонального менеджера",6
"сколько стоит роутер от вашей компании",7
"у вас есть тариф с максимальной скоростью интернета",1
"интересует тариф мощный за 400 рублей в месяц",2
"какой у вас тариф самый дешевый на 10 Мбит",3
"подключите антивирус касперского",4
"интересует выделенный IP для интернета",5
"можно ли заказать личного менеджера",6
"мне нужен фирменный роутер для установки",7
"сколько стоит подключение на максимальной скорости",1
"есть ли тариф на 100 Мбит за 400 рублей",2
"подскажите тариф честный 10 Мбит 100 рублей",3
"интересует касперский антивирус за 100 рублей",4
"хочу выделенный IP что для этого нужно",5
"могу ли я подключить менеджера за 100 рублей",6
"у вас есть фирменный роутер",7
"какой у вас максимальный тариф для интернета",1
"можно подключить тариф на 400 рублей",2
"есть ли интернет за 100 рублей 10 Мбит",3
"касперский антивирус сколько стоит",4
"подключите выделенный IP за 100 рублей",5
"хочу менеджера для консультаций",6
"как приобрести роутер у вас",7
"подскажите тариф на максимальной скорости",1
"могу ли я подключить мощный тариф",2
"интересует тариф честный минимальная цена",3
"как подключить антивирус касперского",4
"мне нужен IP адрес выделенный",5
"подскажите про услугу личного менеджера",6
"есть ли фирменный роутер для покупки",7
"какой интернет на максимальной скорости",1
"интересует тариф мощный интернет 100 Мбит",2
"могу ли я подключить тариф честный",3
"какой антивирус доступен у вас",4
"нужен отдельный IP адрес сколько стоит",5
"подключите мне персонального менеджера",6
"хочу купить фирменный роутер",7
"какой у вас тариф самый быстрый",1
"интересует тариф на 100 Мбит",2
"сколько стоит тариф честный 10 Мбит",3
"как подключить антивирус на месяц",4
"можно ли получить выделенный IP",5
"хочу услугу менеджера для консультаций",6
"где можно купить фирменный роутер",7
"Мне нуден Самый Быстрый тариф, готов платиь 800 рублей в месяц",1
"Хочу тариф максмально Быстрый на 1000 гбит, сколько стот?",1
"Подклюите мне тариф 'Максимальный' за 800 рублей",1
"Интересует тариф максиммальный с 1000 гбит скорости",1
"Какой самый быстрой интернет у вас есть за 800 ррублей",1
"Подсжите могу ли я подключит тариф максмальный",1
"Нужен интеренет тариф на 100 Мбит за 400 рублей",2
"Хочу тариф за 400 рублей с хорошей скоротью",2
"Как подклюичить тариф на 100 мбит за 400 рублей",2
"У вас есть тариф с 100 мбит за 400 рублей?",2
"Интерисует тариф 'Мощный' с интернетом 100 Мбит",2
"Какие у вас есеть тарифы за 400 руплей?",2
"Есть ли бюджений интернет тариф на 10 мбит",3
"Интерисует самый дешовый тариф на 10 Мбит",3
"Можна подклюить интернет за 100 рублей?",3
"Какой у вас тариф за 100 руплей на 10 мбит?",3
"Интересует тариф Честный на 10 мбит",3
"Ест тариф 10 мбит за минимальную цену?",3
"Хочу подключить антивирус касперскогго за 100 рублей",4
"Сколько стоит антивирус касперског?",4
"Подклюите антивирус касперског за 100 р",4
"Как подключит антивирус на месяц?",4
"Могу ли я устнановить касперского за 100 рублей?",4
"Интерисует антивирус от касперскогго на месяц",4
"Нужен выделений IP адрес сколько стоит?",5
"Можна ли получить выделеный IP за 100 рублей?",5
"Хочу заказат выделений IP для подключенния",5
"Интересует услуга выдиленного IP",5
"Сколько стот выделенний IP у вас?",5
"Мне нуден выделенний IP адрес",5
"Хочу подключить личного менджера для вапросов",6
"Подскажите как подклюичть персональног менеджера",6
"Можно ли заказат личного менеджера за 100 р?",6
"Интересует услуга манеджера для поддержки",6
"Сколко стоит подключение персонального манеджера",6
"Могу ли я подключит личного менеджера?",6
"Есть ли у вас фирменый роуттер? Хочу заказать",7
"Интерисует фирменний роуттер для устновки",7
"Могу ли я прибрести роутер у вас?",7
"Сколько стоит фирменный роутер для подключенния?",7
"Хочу ваш фирменний роутер на месяц",7
"У вас есть фирмменный роутер для покупки?",7
"Мне нужно подключить тариф максмальный с максильной скоростью",1
"Подсжите какой тариф у вас самый быстрый",1
"Хочу тариф с 1000 Гбит в секунду",1
"У вас есть тариф за 400 руплей с 100 Мбит?",2
"Хочу мощьный интернет за 400 руплей",2
"Подсжите как подключить тариф за 100 рублей",3
"Хочу тариф на 10 мбит минимальная цена",3
"Мне нужен антивирус для безопастности за 100 р",4
"Интерисует касперский антивирус как подключить",4
"Как получить выдиленный IP адрес?",5
"Нужен личьный манеджер для консультаций",6
"Сколько стоит фирменый роутер от компании?",7
"Интересует интернет на максмальной скорости",1
"Какой тариф подойде для интернета на 100 Мбит?",2
"Можна ли подключить тариф на 10 мбит и платиить 100 рублеий?",3
"Подсжите про антивирус касперского",4
"Нужен отдельный IP адрес",5
"Хочу персонального менеджера",6
"Сколько стоит роутер от вашей компании?",7
"У вас есть тариф с максмальной скоростью интернета?",1
"Интересует тариф Мощный за 400 рублей в месяц",2
"Какой у вас тариф самый дешовый на 10 Мбит?",3
"Подключите антивирус касперского",4
"Интересует выделенный IP для интернета",5
"Можна ли заказать личного менеджера?",6
"Мне нужен фирменный роутер для устновки",7
"Сколько стоит подключение на максмальной скорости?",1
"Есть ли тариф на 100 Мбит за 400 рублей?",2
"Подсжите тариф Честный 10 мбит 100 рублей",3
"Интересует касперский антивирус за 100 рублей",4
"Хочу выделенний IP что для этого нужно?",5
"Могу ли я подключить менджера за 100 рублей?",6
"У вас есть фирменний роутер?",7
"Какой у вас максильмальный тариф для интернета?",1
"Можна подключит тариф на 400 рублей?",2
"Есеть ли интернет за 100 рублей 10 мбит?",3
"Касперский антивирус сколько стот?",4
"Подклюите выделений IP за 100 р",5
"Хочу менеджера для консультатций",6
"Как прибрести роуттер у вас?",7
"Подсжите тариф на максальной скорости?",1
"Могу ли я подключить мрщный тариф?",2
"Интересует тариф честный минимальная цена?",3
"Как подклюить антивирус касперского?",4
"Мне нужен IP адресс выделенный",5
"Подскажите про услугу личного манеджера",6
"Есеть ли фирменний роутер для покупки?",7
"Какой интеренет на максимальной скорости?",1
"Интересует тариф мощный интернет 100 Мбит",2
"Могу ли я подключит тариф честный?",3
"Какой антивирус досутпен у вас?",4
"Нужен отдельный IP адрес сколько стоит?",5
"Подключите мне персональног менеджера",6
"Хочу купить фирмменный роуттер",7
"Какой у вас тариф самый быстрый?",1
"Интересует тариф на 100 мбит",2
"Сколько стоит тариф Честный 10 мбит?",3
"Как подключить антивирус на месяц?",4
"Можно ли получить выдиленный IP?",5
"Хочу услугу менджера для консультаций",6
"Где можно купить фирменный роуттер?",7
"Мне нужн тариф максальный",1
"Подключит тариф на 100 Мбит",2
"Интерисует Честный тариф за 100 р",3
"Как активировать антивирус?",4
"Сколко будет стот выделенный IP?",5
"Как заказать менеджера?",6
"Есть ли у вас фирменный роуттер?",7
"Интересует подключение по максмальной скорости",1
"Сколько стоит тариф мощный?",2
"Мне нужен тариф 10 Мбит",3
"Скажите как настроить антивирус?",4
"Как получить выдиленный IP?",5
"Можно ли подключить личного менджера?",6
"Сколько стоит роуттер ваш?",7
"Сколко стоит подключение на 1000 Гбит",1
"Какой тариф на 400 руб",2
"Нужен антивирус",4
"Мне нужен фирмменный роутер",7
"У вас есеть тариф максимальный?",1
"Инетрнет на 100 мбит за 400 р",2
"Нужен тариф на 10 мбит",3
"Как установить антивирус?",4
"Есть ли услуга IP?",5
"Мне нужн персональнный менеджер",6
"Сколко стоит фирмменный роуттер?",7
"Хочу подключить тариф максимальный",1
"Есть ли интернет на 100 Мбит?",2
"Тариф 10 мбит за минималку",3
"Услуга антивирус сколько стот?",4
"Хочу IP для подключения",5
"У вас есеть менеджеры?",6
"Можно ли взять роутер?",7
"Мне нужен самый бистрый тыреф за 800 рублеев в месяц",1
"Хочу тибе тариф максмыма быстрый на 1000 гбт, скоко стит",1
"Подклбчите максимл тариф за 800 руб",1
"Интресует тариф на максимальн скорость стоить 1000 гбит",1
"Какой у вас бистрей интернет за 800 р?",1
"подскажит могу ли подключть тариф максималн",1
"нужен интерн 100 Мбит за 400 рублёв",2
"Интресует тариф на 400 руб и чтоб быстра скорсть",2
"как подклчить интернет 100 Мбит за 400 рублей",2
"хочу тариф за 400 руб чтоб норм скорость была",2
"у вас е тариф на 100 Мбит за 400 руб",2
"сделайте тариф мажный за 400 рэ",2
"скольк стоит интерн дёшевый на 10 Мбит",3
"интересует тариф самы дешовый на 10 Мбит",3
"мне нада тариф за 100 рэ",3
"какой тариф на 10 мегабт с минимальной стоимот",3
"инет на 10 мбит чтоб дешеве было",3
"мне нужен дёшевый тариф на 10 мбит за 100 руб",3
"Как накасить антивирус за 100 рублей",4
"касперский антивирюс подключить за сотку",4
"хочу касперский антивирус дайте подключить",4
"как подклучить антиВирус касперовски",4
"мне над антивирюс сколко стит",4
"антивирус касперыва за 100 руб могу я взять?",4
"дайте мне выдиленный IP шоб был норм",5
"нужен отдельный IP для инета",5
"как подклчить IP стоить 100 рубль",5
"Выдыли мне IP за 100 рубликов",5
"сколко будеть стоить отдельный IP?",5
"можн ль IP купить?",5
"как подключ личного менагера шоб помогал",6
"подскажит как взять личнго менегера?",6
"нада менаджера за сотку, подскажите",6
"Как взять для себя менеджера",6
"сколко стоит персонлный манеджер",6
"нужн человек поддержк",6
"сколько фирменый роутер у вас",7
"У вас есть свой роутер?",7
"мне надо фирменний роутер дайте взять",7
"сколко фирм роутер для подклчить",7
"могу ли я взять роутер фирм",7
"дайте ваш фирменный роутер пожалуста",7
"мне нужен тариф на самом скоростном",1
"подскажите тариф самый шустрый",1
"хочу тариф на 1000 гбит",1
"есть тариф за 400 руб на 100 мегабит",2
"нужен тарфи за 400 р чтоб с норм инетом",2
"мне нада тариф 100 мбит",2
"как взять тариф на 10 мегаб",3
"дешёвый тариф на 10 мегабт",3
"антивирюс касперского подключите за сотню",4
"касперский анти-вирус подключите",4
"IP отдельно взять надо",5
"менегер для мну нужен",6
"сколко стьит фирм роутер",7
"макс тыреф интересет",1
"тарфи на инет чтоб по норм цене и 100 мег",2
"тариф на минималке надо",3
"антивирус касперский мне нужен",4
"выделенный IP хочу взять",5
"персональный мэнеджер мне в помощь",6
"нужен ваш роутер фирменный",7
"мне интернет чтоб мощный самый был",1
"как подключт к инету 100 мег",2
"можно тариф за сотку шоб инет был",3
"подключите мне анти-вирус касперского",4
"отдельный IP мне нужен для работы",5
"личный манеджер для консультацй",6
"роутер ваш дайте куплю",7
"макс тариф нужен",1
"мощный интернет за 400",2
"дешёвей инет на 10 мегабт",3
"подскажите антивирус касперский",4
"выдиленный IP подсоединить",5
"хочу менаджера",6
"ваш фирм роутер сколько стит",7
"у вас макс тариф на инет есть?",1
"инет 100 мбит за 400",2
"самый дешовй интернет",3
"антивирюс касперского подклчить",4
"IP отдельный для себя возьму",5
"подскажите про персонального менджера",6
"мне ваш роутер нужен",7
"вот нужен тариф максималн чтоб всё",1
"помогите подключить тариф за 400 рэ",2
"тариф дешевый 10 мбит",3
"антивирюс за сотку над",4
"сколько будет IP для работы",5
"личный менджер для вопросов",6
"мне надо роутер ваш",7
"помощь по инету нужен макс тариф",1
"помогите с 100 мбит",2
"дешовый интернет инет чтоб за 100 рэ",3
"нада антивирюс подключить",4
"выделеный IP как сделать",5
"хочу взять личного манеджера",6
"сколько фирмений роутер стоть?",7
"вы подключаете макс интернет?",1
"помгите с 100 мегаб",2
"самый дешовий инет",3
"какой антивирюс у вас?",4
"какой выдиленный IP?",5
"можно взять менджера",6
"где роутер от компании?",7
"мне макс тариф нужен под инет",1
"инет мощный на 100 мбит",2
"дешевый тариф на 10 мегабт",3
"антивирус касперского возьму",4
"как взять выделеный IP?",5
"хочу взять личн менеджера",6
"роутер от вас дайте",7
"инет самый быстрый какой?",1
"тариф 100 мбит чтоб норм",2
"миним тариф на инет 10 мбит",3
"антивирус касп подключите",4
"нада IP чтоб отдельн",5
"хочу услугу менеджер",6
"ваш роутер купить можно?",7
"мне нада тыреф самый мощный",1
"нужен тарф на инет 100 мбит",2
"инет 10 мбит дайте тариф",3
"антивирус есть у вас?",4
"выделеный IP можно?",5
"подключит менеджера для консультации",6
"ваш роутер мне нада",7
"как взять инет макс",1
"инет мощный 100 мбит",2
"десять мегаб инет тариф",3
"антивирус есть подключ",4
"нада IP чтоб был отдельный",5
"персональный менеджер дайте",6
"фирменный роутер хочу",7
"мне нада тариф на 1000 гбит",1
"как можно взять тариф на 100 мбит?",2
"дешевле инет тариф",3
"сколько антивирус стоит?",4
"IP мне нужен отдельн",5
"подключите менеджера мне",6
"роутер ваш интересет",7
"мне нада мощный инет",1
"подскажите про инет на 100 мег",2
"десять мегабайт за сто рублей",3
"касперский антивирус сколько?",4
"выдиленный IP подклучить",5
"мне нужен ваш менеджер",6
"фирменый роутер",7
"мне нужн макс тарф",1
"сколко стоит 100 мег инет",2
"десять мегабайтов инет",3
"антивирус сколько стот",4
"можно IP для инет",5
"менеджер нужен как подключить?",6
"роутер фирменый",7
"самый быстрый тариф дайте",1
"инет сто мегаб",2
"мне нада тариф дешов",3
"антивирус мне нужен",4
"выделенный IP для инет",5
"нада менеджер для вапросов",6
"роутер дайте",7
"Мне нужен тариф самый быстрый который за 800 рублей чтобы был",1
"Какой тариф на максимум скорости подключить?",1
"Хочу тариф за 800 где скорость большая чтоб прям",1
"Скажите как мне максимальный тариф подключить",1
"Самый быстрый тариф мне бы",1
"Так, тариф за 800 с 1000 гбит как подключить?",1
"Нужен интернет тариф 100 мбит за 400 рублей",2
"Какой тариф у вас на 100 мбит, хочу его",2
"Тариф за 400 хочу где скорость 100 мбит",2
"Можно мне тариф за 400 чтоб интернет 100 мбит",2
"Тариф мощный хочу на 100 мбит",2
"Мне б тариф нормальный за 400 с интернетом быстрым",2
"Нужен тариф чтоб дешевле, 10 мбит пусть будет",3
"Какой тариф у вас за 100 рублей?",3
"Мне б подешевле тариф 10 мбит",3
"Тариф на 10 мбит чтоб цена норм была",3
"Тариф честный 10 мбит мне нужен",3
"Какой тариф самый дешевый чтоб 10 мбит",3
"Мне антивирус касперского за 100 рублей нужен",4
"Как мне антивирус касперского за 100 р подключить?",4
"Нужен антивирус касперского, скажите как подключить",4
"Хочу антивирус касперского подключить на месяц",4
"Антивирус касперского за сотку подключить можно?",4
"Антивирус ваш интересует, чтоб касперского и за 100 р",4
"Нужен выделенный IP и как подключить мне?",5
"Подскажите выделенный IP за 100 р как сделать?",5
"Хочу IP выделенный подключить",5
"Выделенный IP нужен мне для подключения",5
"Как взять IP отдельный за 100 рублей?",5
"Хочу IP выделенный подключить чтобы отдельный",5
"Подскажите как мне личного менеджера подключить",6
"Хочу личный менеджер, как мне его подключить?",6
"Как личного менеджера за сотку подключить мне?",6
"Нужен менеджер чтоб по вопросам помогал",6
"Персональный менеджер хочу чтоб был за 100 рублей",6
"Личный менеджер хочу за сотню",6
"Роутер фирменный у вас есть, можно подключить?",7
"Хочу фирменный роутер ваш",7
"Роутер фирменный, он сколько стоит и как его подключить?",7
"Как роутер фирменный взять у вас?",7
"Хочу взять фирменный роутер чтоб он был ваш",7
"Мне нужен роутер фирменный, сколько он?",7
"Тариф максимальный чтоб скорость была максимально",1
"Мне тариф максимальный интересует",1
"Подключить тариф на 1000 гбит который",1
"Тариф 100 мбит который за 400 рублей как взять?",2
"Какой интернет тариф на 100 мбит у вас есть?",2
"Тариф за 400 который на 100 мбит нужен",2
"Мне б тариф на 10 мбит, минимальный который",3
"Какой тариф у вас есть самый дешевый на 10 мбит",3
"Нужен тариф дешевый чтобы интернет 10 мбит",3
"Антивирус касперского подключить чтобы он за 100 р был",4
"Хочу касперского антивирус чтоб за 100 р на месяц",4
"Нужен IP который выделенный, как подключить?",5
"Менеджер персональный нужен для консультаций",6
"Роутер фирменный сколько у вас стоит",7
"Мне интернет чтоб максимально скорость был",1
"Как тариф на 100 мбит подключить?",2
"Мне б интернет дешевый на 10 мбит",3
"Подключите мне антивирус касперского",4
"Нужен отдельный IP чтобы был выделенный",5
"Хочу менеджера персонального",6
"Роутер фирменный у вас есть?",7
"Тариф у вас максимальный для интернета",1
"Тариф за 400 мне нужен на 100 мбит",2
"Тариф самый дешевый какой у вас есть?",3
"Подключите антивирус касперского мне",4
"Отдельный IP хочу",5
"Хочу персонального менеджера подключить",6
"Мне нужен фирменный роутер ваш",7
"Подключение на максимальной скорости чтобы",1
"Как подключить тариф на 100 мбит?",2
"Честный тариф на 10 мбит мне нужен",3
"Касперский антивирус мне нужен",4
"IP отдельный хочу",5
"Менеджер нужен для консультаций",6
"Как взять роутер фирменный?",7
"Максимальный тариф у вас какой для интернета?",1
"Мне подключить тариф 100 мбит за 400 рублей",2
"Тариф на 10 мбит мне дайте",3
"Хочу антивирус касперского",4
"Выделенный IP мне нужен",5
"Персональный менеджер у вас есть?",6
"Ваш роутер мне нужен",7
"Максимум скорости тариф мне нужен",1
"Тариф мощный подключите мне",2
"Честный тариф мне бы подключить",3
"Подключите мне антивирус",4
"Выделенный IP мне подключить нужно",5
"Менеджер нужен персональный",6
"Ваш роутер дайте мне",7
"Мне максимальный тариф для интернета нужен",1
"Интернет тариф на 100 мбит нужен",2
"Тариф подешевле на 10 мбит нужен",3
"Антивирус касперского мне нужно подключить",4
"IP мне выделенный нужен",5
"Персональный менеджер мне нужно подключить",6
"Роутер фирменный мне нужен",7
"Максимум скорости в тарифе нужен",1
"Интернет тариф мощный подключить",2
"Честный тариф подключите",3
"Мне нужен антивирус касперского",4
"Отдельный IP нужен",5
"Личный менеджер мне нужен",6
"Фирменный роутер ваш нужен",7
"Тариф максимальный нужен мне для интернета",1
"Тариф за 400 подключить мне надо",2
"Тариф честный мне нужен",3
"Антивирус касперского подключите",4
"IP мне выделенный нужен для работы",5
"Личный менеджер подключить мне надо",6
"Фирменный роутер подключите мне",7
"Максимальный тариф мне для интернета подключить",1
"Интернет на 100 мбит мне нужен",2
"Тариф дешевый на 10 мбит нужен мне",3
"Касперский антивирус хочу подключить",4
"Отдельный IP подключить",5
"Персональный менеджер мне нужен для помощи",6
"Фирменный роутер у вас есть подключить?",7
"Тариф самый быстрый мне нужен",1
"Тариф 100 мбит подключите мне",2
"Тариф дешевый мне нужен",3
"Антивирус нужен мне касперского",4
"Выделенный IP подключить мне нужно",5
"Менеджер персональный мне нужен для вопросов",6
"Роутер фирменный мне нужен от вас",7
"Мне максимальный тариф для скорости нужен",1
"Интернет 100 мбит нужен мне подключить",2
"Тариф на 10 мбит нужен подешевле",3
"Антивирус касперского подключите мне",4
"IP мне выделенный нужен для интернета",5
"Персональный менеджер нужен мне подключить",6
"Ваш фирменный роутер подключить мне можно?",7
"Максимальная скорость мне нужна для интернета",1
"Подключите интернет на 100 мбит мне",2
"Тариф дешёвый на 10 мбит нужен",3
"Касперский антивирус подключить",4
"IP выделенный мне подключить можно?",5
"Персональный менеджер мне нужен",6
"Фирменный роутер мне дайте подключить",7
"Мне максимальный тариф на интернет",1
"Тариф на 100 мбит для подключения",2
"Мне тариф честный на 10 мбит нужен",3
"Антивирус подключите мне касперского",4
"Выделенный IP подключить для работы",5
"Личный менеджер подключите мне для помощи",6
"Фирменный роутер мне от вас нужен",7
"Тариф самый быстрый мне подключите",1
"Интернет 100 мбит мне подключить",2
"Тариф 10 мбит мне нужен дешевле",3
"Антивирус касперского подключите мне для защиты",4
"IP выделенный мне нужен для работы",5
"Менеджер личный мне нужен подключить",6
"Ваш фирменный роутер подключите мне",7
"Максимальная скорость интернета мне нужна",1
"Интернет на 100 мбит подключите мне",2
"Мне нужен тариф подешевле на 10 мбит",3
"Касперский антивирус мне нужен подключить",4
"Выделенный IP мне нужен подключить для работы",5
"Личный менеджер мне нужен для консультаций",6
"Фирменный роутер подключить мне можно",7
"мне нужен тариф самый быстрый за 800 рублей чтобы подключить",1
"как мне подключить тариф с максимальной скоростью",1
"хочу тариф где 1000 гбит и за 800 рублей в месяц",1
"скажите как мне тариф на максимум скорости подключить",1
"максимальный тариф мне нужен",1
"тариф за 800 рублей на максимальной скорости мне надо",1
"нужен интернет тариф где 100 мбит за 400 рублей",2
"какой тариф у вас на 100 мбит",2
"мне тариф за 400 рублей где скорость 100 мбит",2
"можно мне подключить тариф за 400 чтобы 100 мбит был",2
"хочу мощный тариф чтоб 100 мбит скорость",2
"мне бы тариф нормальный за 400 рублей",2
"тариф чтоб дешевый на 10 мбит нужен",3
"мне нужен тариф за 100 рублей",3
"подскажите тариф дешевый на 10 мбит",3
"тариф 10 мбит чтоб подешевле был",3
"мне честный тариф на 10 мбит нужен",3
"какой тариф у вас самый дешевый чтоб 10 мбит был",3
"мне нужен антивирус касперского за 100 рублей",4
"как мне антивирус касперского за 100 рублей подключить",4
"подскажите как антивирус касперского подключить",4
"антивирус касперского за сотку подключить мне",4
"антивирус за 100 рублей касперского хочу",4
"антивирус мне нужен касперского на 100 рублей",4
"выделенный ip мне нужен, как его подключить",5
"подскажите как выделенный ip за 100 рублей подключить",5
"мне выделенный ip подключить",5
"нужен ip отдельный для подключения",5
"ip выделенный можно подключить за 100 рублей",5
"выделенный ip мне подключить",5
"личного менеджера как мне подключить",6
"как мне подключить личного менеджера",6
"мне нужен менеджер личный за 100 рублей",6
"подскажите как подключить менеджера за сотку",6
"хочу личный менеджер чтобы за 100 рублей был",6
"нужен менеджер за 100 рублей для консультаций",6
"фирменный роутер у вас есть подключить можно",7
"мне фирменный роутер нужен от вас",7
"как взять роутер ваш фирменный подключить",7
"сколько стоит фирменный роутер и как подключить",7
"мне бы фирменный роутер от вас",7
"нужен роутер фирменный, сколько он стоит",7
"тариф максимальный на самой скорости мне",1
"мне нужен тариф максимальный для интернета",1
"подключите мне тариф максимальный который 1000 гбит",1
"тариф на 100 мбит который за 400 рублей подключите",2
"интернет тариф на 100 мбит у вас есть",2
"мне нужен тариф за 400 рублей на 100 мбит",2
"мне тариф на 10 мбит минимальный нужен",3
"какой тариф у вас за 100 рублей самый дешевый",3
"подключите тариф дешевый чтобы 10 мбит был",3
"антивирус касперского подключите мне на 100 рублей",4
"мне антивирус касперского подключить надо",4
"ip выделенный нужен, как мне его подключить",5
"подскажите как подключить выделенный ip для интернета",5
"менеджер нужен персональный для вопросов",6
"сколько стоит роутер фирменный у вас",7
"интернет максимально быстрый нужен",1
"тариф на 100 мбит как подключить",2
"мне тариф дешевый на 10 мбит нужен",3
"подключите мне антивирус касперского за 100 рублей",4
"отдельный ip нужен для работы",5
"хочу менеджера персонального подключить",6
"роутер фирменный у вас есть подключить можно",7
"мне нужен максимальный тариф на интернет",1
"подключите тариф 100 мбит за 400 рублей мне",2
"мне самый дешевый тариф на 10 мбит нужен",3
"антивирус касперского подключите мне",4
"отдельный ip хочу подключить",5
"подключите менеджера персонального мне",6
"мне нужен ваш роутер фирменный",7
"мне нужно подключение на максимальной скорости",1
"тариф на 100 мбит подключить мне надо",2
"честный тариф 10 мбит подключить мне",3
"касперский антивирус нужен подключить",4
"ip отдельный нужен мне для интернета",5
"подключите мне менеджера персонального",6
"мне ваш роутер нужен фирменный",7
"максимальный тариф на интернет мне нужен",1
"мне подключить тариф 100 мбит на 400 рублей",2
"подключите тариф на 10 мбит мне",3
"антивирус касперского мне нужен на 100 рублей",4
"выделенный ip для работы нужен",5
"менеджер персональный для консультаций нужен",6
"мне фирменный роутер нужен от вас",7
"тариф максимальный подключите мне на интернет",1
"мне тариф на 100 мбит нужен подключить",2
